Id,Abstract,Summary,
!013,"Hydrogen storage is a key link in hydrogen economy, where solid-state hydrogen storage is considered as the most promising approach because it can meet the requirement of high density and safety. Thereinto, magnesium-based materials (MgH2) are currently deemed as an attractive candidate due to the potentially high hydrogen storage density (7.6 wt%), however, the stable thermodynamics and slow kinetics limit the practical application. In this study, we design a ternary transition metal sulfide FeNi2S4 with a hollow balloon structure as a catalyst of MgH2 to address the above issues by constructing a MgH2/Mg2NiH4-MgS/Fe system. Notably, the dehydrogenation/hydrogenation of MgH2 has been significantly improved due to the synergistic catalysis of active species of Mg2Ni/Mg2NiH4, MgS and Fe originated from the MgH2-FeNi2S4 composite. The hydrogen absorption capacity of the MgH2-FeNi2S4 composite reaches to 4.02 wt% at 373 K for 1 h, a sharp contrast to the milled-MgH2 (0.67 wt%). In terms of dehydrogenation process, the initial dehydrogenation temperature of the composite is 80 K lower than that of the milled-MgH2, and the dehydrogenation activation energy decreases by 95.7 kJ·mol–1 compared with the milled-MgH2 (161.2 kJ·mol–1). This method provides a new strategy for improving the dehydrogenation/hydrogenation performance of the MgH2 material. © 2022","Hydrogen storage is a key link in hydrogen economy, where solid-state hydrogen storage is considered as the most promising approach because it can meet the requirement of high density and safety. Thereinto, magnesium-based materials (MgH2) are currently deemed as an attractive candidate due to the potentially high hydrogen storage density (7.6 wt%), however, the stable thermodynamics and slow kinetics limit the practical application.",_
!014,"Given its significant gravimetric hydrogen capacity advantage, lithium alanate (LiAlH4) is regarded as a suitable material for solid-state hydrogen storage. Nevertheless, its outrageous decomposition temperature and slow sorption kinetics hinder its application as a solid-state hydrogen storage material. This research’s objective is to investigate how the addition of titanium silicate (TiSiO4) altered the dehydrogenation behavior of LiAlH4. The LiAlH4–10 wt% TiSiO4 composite dehydrogenation temperatures were lowered to 92 °C (first-step reaction) and 128 °C (second-step reaction). According to dehydrogenation kinetic analysis, the TiSiO4-added LiAlH4 composite was able to liberate more hydrogen (about 6.0 wt%) than the undoped LiAlH4 composite (less than 1.0 wt%) at 90 °C for 2 h. After the addition of TiSiO4, the activation energies for hydrogen to liberate from LiAlH4 were lowered. Based on the Kissinger equation, the activation energies for hydrogen liberation for the two-step dehydrogenation of post-milled LiAlH4 were 103 and 115 kJ/mol, respectively. After milling LiAlH4 with 10 wt% TiSiO4, the activation energies were reduced to 68 and 77 kJ/mol, respectively. Additionally, the scanning electron microscopy images demonstrated that the LiAlH4 particles shrank and barely aggregated when 10 wt% of TiSiO4 was added. According to the X-ray diffraction results, TiSiO4 had a significant effect by lowering the decomposition temperature and increasing the rate of dehydrogenation of LiAlH4 via the new active species of AlTi and Si-containing that formed during the heating process. © 2023 by the authors.","Given its significant gravimetric hydrogen capacity advantage, lithium alanate (LiAlH4) is regarded as a suitable material for solid-state hydrogen storage. After milling LiAlH4 with 10 wt% TiSiO4, the activation energies were reduced to 68 and 77 kJ/mol, respectively.",_
!015,"The development of alloys that are hydrogenated and dehydrogenated quickly and actively at room temperature is a challenge for the safe and compact storage of hydrogen. In this study, a new high-entropy alloy (HEA) with AB-type configuration (A: hydride-forming elements, B: inert-to-hydrogen elements) was designed by considering valence electron concentration, electronegativity difference and atomic-size mismatch of elements. The alloy TiV2ZrCrMnFeNi had dual C14 Laves and BCC phases, in which C14 stored hydrogen and BCC/C14 interphase boundaries contributed to activation. The alloy absorbed 1.6 wt% of hydrogen at room temperature without any activation treatment and exhibited fast kinetics and full reversibility. © 2023 Acta Materialia Inc.","In this study, a new high-entropy alloy (HEA) with AB-type configuration (A: hydride-forming elements, B: inert-to-hydrogen elements) was designed by considering valence electron concentration, electronegativity difference and atomic-size mismatch of elements. The alloy absorbed 1.6 wt% of hydrogen at room temperature without any activation treatment and exhibited fast kinetics and full reversibility.",_
!016,"The metal-hydrogen interaction and its equilibrium conditions allow for distinct properties in metal hydrides (MHs). Based on these properties, MHs have been found to enable a range of novel technologies from thermal compression to sensors, and catalysis. Ni-MH batteries are currently the main application of hydrides in the market. However, new battery concepts such as Li-MgH2, Mn-MH, and hydride-based solid electrolytes have emerged. Fuel cells based on hydrides have also been proposed to convert the chemical “hydride energy” into electrical energy. Based on their unique thermodynamic properties, MHs are also the basis of new concepts in hydrogen compression, heat pumps, cooling systems, and thermal energy storage. Other important applications, including catalysis and chemical speciation have also been considered owing the chemical properties of hydrides. Sensors and smart mirrors based on the dynamic optical, structural, and electrical properties of MHs have been developed. This review summarizes current state-of-the-art along the multiple applications of MHs and provides recommendations on the future progress required to enable a more widespread adoption of MHs beyond their use as hydrogen storage materials. © 2022 Elsevier B.V.","The metal-hydrogen interaction and its equilibrium conditions allow for distinct properties in metal hydrides (MHs). Based on their unique thermodynamic properties, MHs are also the basis of new concepts in hydrogen compression, heat pumps, cooling systems, and thermal energy storage.",_
!017,"Solid state hydrogen storage addresses the problems of high pressurization in compressed gaseous state and energy intensive liquefaction in liquid state. Clathrate structures have shown promising results as host material for storing hydrogen as hydrate. The effect of different promoters on improving storage capabilities of clathrates have been studied at 263 K and 10 MPa hydrogen pressure. Hydrogen adsorption kinetics of four different clathrates using promoters Tetrahydrofuran, Tetrahydropyran, 1,3 Dioxolane and 2,3 Dihydrofuran with Multiwall Carbon nanotube as substrate was carried out. The results showed ∼1.5 wt% hydrogen adsorption within 90 min using CNT substrate. This is one of the first reports on usage of CNT as a substrate material for hydrogen storage in clathrate systems. It was observed that CNT shows synergitic effect in the hydrogen adsorption with fast kinetics (less than 90 min). The weight of substrate material (CNT) was also taken into consideration while calculating the weight % of hydrogen adsorption. The present study also involves design and simulation of a hydrogen storage canister (using CNT based clathrate) with embedded helical coolant coils on COMSOL Multiphysics software to analyse the effects of temperature management on improving hydrogen storage capability of the clathrate reactor bed. Results of simulation includes variation of hydrate concentration and temperature in clathrate reactor bed with the passage of time. The theoretical studies pave way for validating the scalability of clatharates as a viable hydrogen energy system. © 2022 Hydrogen Energy Publications LLC","Hydrogen adsorption kinetics of four different clathrates using promoters Tetrahydrofuran, Tetrahydropyran, 1,3 Dioxolane and 2,3 Dihydrofuran with Multiwall Carbon nanotube as substrate was carried out. It was observed that CNT shows synergitic effect in the hydrogen adsorption with fast kinetics (less than 90 min).",_
!018,"The increasing energy demand and the worldwide energy crisis must be met in large part via the sustainable growth of hydrogen energy, since this economy is relied upon to provide clean and carbon-free energy carriers. It is anticipated that the growing demand for light and heavy fuel cell cars would stimulate the development of onboard solid-state hydrogen technology. The research here concentrates on the importance of various permeable substances such as polymers in general, metallic substances, and complex metal hydrides, even if Si nanostructures (SiNSs) have become known as the obvious contender for solid-state hydrogen storage systems. SiNSs have gained prominence as a leading candidate for solid-state hydrogen storage systems. Renowned for their high storage capacity, SiNSs, including silicon nanowires and quantum dots, exhibit promising potential in addressing challenges associated with traditional hydrogen storage methods, positioning them as a key player in advancing clean and efficient energy storage technologies. SiNSs play a crucial role in advancing solid-state hydrogen storage technology. SiNSs, including silicon nanowires and quantum dots, exhibit high storage capacity. Despite challenges like surface oxidation, SiNS holds promise for efficient hydrogen storage, contributing to the development of sustainable energy solutions and mitigating the environmental impact associated with conventional automotive technologies. We focus on the processes that result in permeable silicon, nanowires made of porous silicon, and Si quantum dots. This investigation elucidates the characteristics and patterns of hydrogen's aid, the value of hydrogen power in automobiles for reducing global warming occurrences, and the potential of using SiNSs for hydrogen storage in tandem with other forms of transition and alkali earth materials to meet these difficulties. It demonstrates how catalysts are critical to fixing the current reversibility and desorption problems with hydrogen energy storage. As a result of the analysis, energy suppliers and Si-based fuel cells may be better able to tailor their services to individual customers' needs, which might boost the growth of the hydrogen energy industry. © 2024 Elsevier Ltd",SiNSs have gained prominence as a leading candidate for solid-state hydrogen storage systems. It demonstrates how catalysts are critical to fixing the current reversibility and desorption problems with hydrogen energy storage.,_
!019,"Hydrogen plays a crucial role in the future energy landscape owing to its high energy density. However, finding an ideal storage material is the key challenge to the success of the hydrogen economy. Various solid-state hydrogen storage materials, such as metal hydrides, have been developed to realize safe, effective, and compact hydrogen storage. However, low kinetics and thermodynamic stability lead to a high working temperature and a low hydrogen sorption rate of the metal hydrides. Using scaffolds made from porous materials like silica to confine the metal hydrides is necessary for better and improved hydrogen storage. Therefore, this article reviews porous silica-based scaffolds as an ideal material for improved hydrogen storage. The outcome showed that confining the metal hydrides using scaffolds based on porous silica significantly increases their storage capacities. It was also found that the structural modifications of the silica-based scaffold into a hollow structure further improved the storage capacity and increased the affinity and confinement ability of the metal hydrides, which prevents the agglomeration of metal particles during the adsorption/desorption process. Hence, the structural modifications of the silica material into a fibrous and hollow material are recommended to be crucial for further enhancing the metal hydride storage capacity. © 2023 Wiley-VCH GmbH.","Using scaffolds made from porous materials like silica to confine the metal hydrides is necessary for better and improved hydrogen storage. Therefore, this article reviews porous silica-based scaffolds as an ideal material for improved hydrogen storage.",_
!020,"This study describes the hydrogen storage performance of NaAlH4 with the addition of CuFe2O4 additive. The results were compared with undoped NaAlH4. For the first and second steps of dehydrogenation, the CuFe2O4-doped NaAlH4 liberated hydrogen at 150 °C and 220 °C, whereas as-milled NaAlH4 released hydrogen at 190 °C and 290 °C, respectively. The desorption kinetic analysis unveiled that the doped system liberated around 1.5 and 4.4 wt% hydrogen within 120 min at 150 and 200 °C, respectively. Meanwhile, the undoped NaAlH4 only desorbed 0.5 and 3.6 wt% hydrogen, respectively, under identical conditions. The activation energy for the doped system at the first step of dehydrogenation was decreased from 114.7 to 92.5 kJ/mol, while reduced from 125.2 to 98.1 kJ/mol at the second stage. The synergistic impact between the in-situ formed Cu2O and Fe during the heating process indicated that these active species are superior in boosting the hydrogen storage performance of NaAlH4. © 2023 Hydrogen Energy Publications LLC","The desorption kinetic analysis unveiled that the doped system liberated around 1.5 and 4.4 wt% hydrogen within 120 min at 150 and 200 °C, respectively. Meanwhile, the undoped NaAlH4 only desorbed 0.5 and 3.6 wt% hydrogen, respectively, under identical conditions.",_
!021,"The growing demand for energy and the need to reduce the carbon footprint has made green hydrogen a promising alternative to traditional fossil fuels. Green hydrogen is produced using renewable energy sources, making it a sustainable and environmentally friendly energy source. Solid-state hydrogen storage aims to store hydrogen in a solid matrix, offering potential advantages such as higher safety and improved energy density compared to traditional storage methods such as compressed gas or liquid hydrogen. However, the development of efficient and economically viable solid-state storage materials is still a challenge, and research continues in this field. Borophene is a two-dimensional material that offers potential as an intermediate hydrogen storage material due to its moderate binding energy and reversible behavior. Its unique geometry and electronic properties also allow for higher hydrogen adsorption capacity than metal-based complex hydrides, surpassing the goals set by the U.S. Department of Energy. Borophene has shown great potential for hydrogen storage, but it is still not practical for commercial use. In this review, borophene nanomaterials chemical and physical properties are discussed, related to hydrogen storage and binding energy. The importance of borophene for hydrogen storage, the challenges it faces, and its future prospects are also being discussed. © 2023 The Author(s)","Borophene is a two-dimensional material that offers potential as an intermediate hydrogen storage material due to its moderate binding energy and reversible behavior. Its unique geometry and electronic properties also allow for higher hydrogen adsorption capacity than metal-based complex hydrides, surpassing the goals set by the U.S. Department of Energy.",_
!022,"Magnesium hydride is considered as a promising solid-state hydrogen storage material due to its high hydrogen capacity. How to improve hydrogen desorption kinetics of MgH2 is one of key issues for its practical applications. In this study, we synthesize a Mg–Ni–TiS2 composite through a solution-based synthetic strategy. In the as-prepared composite, the co-precipitated Mg and Ni nanoparticles are highly dispersed on TiS2 nanosheets. As a result, the activation energy for hydrogen desorption decreases to 79.4 kJ mol−1. Meanwhile, the capacity retention rate is kept at the level of 98% and only slight kinetic deterioration is caused after fifty hydrogenation-dehydrogenation cycles. Further investigation indicates that the superior hydrogen desorption kinetics is attributed to the synergistically catalytic effect of the in situ formed Mg2NiH4 and TiH2, and the remained TiS2. The excellent cycle stability is related not only to the inhibition effect of the secondary phases on powder agglomeration and crystallite growth of Mg and MgH2 but also to the prevention effect of MgS and TiS2 on redistribution of catalytic Mg2NiH4 and TiH2 nanoparticles during cycling. This work introduces a feasible approach to develop Mg-based hydrogen storage materials. © 2023 Hydrogen Energy Publications LLC","As a result, the activation energy for hydrogen desorption decreases to 79.4 kJ mol−1. This work introduces a feasible approach to develop Mg-based hydrogen storage materials.",_
!023,"For hydrogen to be successfully used as an energy carrier in a new renewable energy driven economy, more efficient hydrogen storage technologies have to be found. Solid-state hydrogen storage in complex metal hydrides, such as sodium alanate (NaAlH4), is a well-researched candidate for this application. A series of NaAlH4/mesoporous carbon black composites, with high NaAlH4 content (50–90 wt%), prepared via ball milling have demonstrated significantly lower dehydrogenation temperatures with intense dehydrogenation starting at ∼373 K compared to bulk alanate's ≥ 456 K. Dehydrogenation/hydrogenation cycling experiments have demonstrated partial hydrogenation at 6 MPa H2 and 423 K. The cycling experiments combined with temperature-programmed dehydrogenation and powder X-ray diffraction have given insight into the fundamental processes driving the H2 release and uptake in the NaAlH4/carbon composites. It is established that most of the hydrogenation behavior can be attributed to the Na3AlH6 ↔ NaH transition. © 2023 The Authors","Solid-state hydrogen storage in complex metal hydrides, such as sodium alanate (NaAlH4), is a well-researched candidate for this application. A series of NaAlH4/mesoporous carbon black composites, with high NaAlH4 content (50–90 wt%), prepared via ball milling have demonstrated significantly lower dehydrogenation temperatures with intense dehydrogenation starting at ∼373 K compared to bulk alanate's ≥ 456 K. Dehydrogenation/hydrogenation cycling experiments have demonstrated partial hydrogenation at 6 MPa H2 and 423 K. The cycling experiments combined with temperature-programmed dehydrogenation and powder X-ray diffraction have given insight into the fundamental processes driving the H2 release and uptake in the NaAlH4/carbon composites.",_
